date,anomaly_c,z
1896-12,-0.53,-1.10867
1897-01,-0.584,-1.21253
1897-02,-0.638,-1.31639
1897-03,-0.502,-1.05482
1897-04,-0.495,-1.04136
1897-05,-0.5,-1.05097
1897-06,-0.51931,-1.08812
1897-07,-0.538,-1.12406
1897-08,-0.52,-1.08944
1897-09,-0.548,-1.14329
1897-10,-0.579,-1.20292
1897-11,-0.648,-1.33563
1897-12,-0.543,-1.13368
1898-01,-0.64,-1.32024
1898-02,-0.571,-1.18753
1898-03,-0.54632,-1.14007
1898-04,-0.519,-1.08752
1898-05,-0.346,-0.75478
1898-06,-0.698,-1.43179
1898-07,-0.518,-1.08559
1898-08,-0.726,-1.48565
1898-09,-0.652,-1.34332
1898-10,-0.533,-1.11444
1898-11,-0.61,-1.26254
1898-12,-0.68,-1.39717
1899-01,-0.585,-1.21446
1899-02,-0.49,-1.03174
1899-03,-0.581,-1.20676
1899-04,-0.498,-1.04713
1899-05,-0.52,-1.08944
1899-06,-0.59,-1.22407
1899-07,-0.391,-0.84133
1899-08,-0.536,-1.12021
1899-09,-0.766,-1.56258
1899-10,-0.595,-1.23369
1899-11,-0.655,-1.34909
1899-12,-0.515,-1.07982
1900-01,-0.62,-1.28177
1900-02,-0.54,-1.12791
1900-03,-0.472,-0.99712
1900-04,-0.435,-0.92596
1900-05,-0.606,-1.25485
1900-06,-0.59787,-1.23921
1900-07,-0.59,-1.22407
1900-08,-0.628,-1.29716
1900-09,-0.452,-0.95865
1900-10,-0.57003,-1.18567
1900-11,-0.692,-1.42025
1900-12,-0.499,-1.04905
1901-01,-0.38,-0.82017
1901-02,-0.438,-0.93173
1901-03,-0.623,-1.28754
1901-04,-0.60649,-1.25579
1901-05,-0.59051,-1.22505
1901-06,-0.574,-1.1933
1901-07,-0.506,-1.06251
1901-08,-0.503,-1.05674
1901-09,-0.66,-1.35871
1901-10,-0.593,-1.22984
1901-11,-0.84,-1.7049
1901-12,-0.644,-1.32793
1902-01,-0.556,-1.15868
1902-02,-0.61,-1.26254
1902-03,-0.36,-0.78171
1902-04,-0.598,-1.23946
1902-05,-0.524,-1.09713
1902-06,-0.496,-1.04328
1902-07,-0.415,-0.88749
1902-08,-0.67,-1.37794
1902-09,-0.479,-1.01058
1902-10,-0.58,-1.20484
1902-11,-0.649,-1.33755
1902-12,-0.514,-1.0779
1903-01,-0.51,-1.07021
1903-02,-0.548,-1.14329
1903-03,-0.475,-1.00289
1903-04,-0.504,-1.05867
1903-05,-0.47,-0.99327
1903-06,-0.443,-0.94134
1903-07,-0.393,-0.84518
1903-08,-0.643,-1.32601
1903-09,-0.391,-0.84133
1903-10,-0.48002,-1.01254
1903-11,-0.572,-1.18945
1903-12,-0.494,-1.03943
1904-01,-0.493,-1.03751
1904-02,-0.539,-1.12598
1904-03,-0.49,-1.03174
1904-04,-0.502,-1.05482
1904-05,-0.515,-1.07982
1904-06,-0.418,-0.89326
1904-07,-0.481,-1.01443
1904-08,-0.589,-1.22215
1904-09,-0.479,-1.01058
1904-10,-0.533,-1.11444
1904-11,-0.485,-1.02212
1904-12,-0.48,-1.01251
1905-01,-0.5015,-1.05386
1905-02,-0.523,-1.09521
1905-03,-0.4,-0.85864
1905-04,-0.403,-0.86441
1905-05,-0.459,-0.97212
1905-06,-0.466,-0.98558
1905-07,-0.4,-0.85864
1905-08,-0.45492,-0.96428
1905-09,-0.50985,-1.06991
1905-10,-0.563,-1.17214
1905-11,-0.556,-1.15868
1905-12,-0.432,-0.92019
1906-01,-0.428,-0.91249
1906-02,-0.403,-0.86441
1906-03,-0.345,-0.75286
1906-04,-0.44,-0.93557
1906-05,-0.393,-0.84518
1906-06,-0.489,-1.02982
1906-07,-0.50572,-1.06198
1906-08,-0.523,-1.09521
1906-09,-0.523,-1.09521
1906-10,-0.489,-1.02982
1906-11,-0.594,-1.23177
1906-12,-0.342,-0.74709
1907-01,-0.564,-1.17407
1907-02,-0.555,-1.15676
1907-03,-0.46625,-0.98607
1907-04,-0.368,-0.79709
1907-05,-0.39,-0.83941
1907-06,-0.404,-0.86633
1907-07,-0.479,-1.01058
1907-08,-0.574,-1.1933
1907-09,-0.514,-1.0779
1907-10,-0.58,-1.20484
1907-11,-0.44,-0.93557
1907-12,-0.511,-1.07213
1908-01,-0.539,-1.12598
1908-02,-0.473,-0.99904
1908-03,-0.395,-0.84902
1908-04,-0.465,-0.98366
1908-05,-0.44484,-0.94487
1908-06,-0.424,-0.9048
1908-07,-0.448,-0.95096
1908-08,-0.532,-1.11252
1908-09,-0.55,-1.14714
1908-10,-0.5,-1.05097
1908-11,-0.623,-1.28754
1908-12,-0.601,-1.24523
1909-01,-0.52,-1.08944
1909-02,-0.454,-0.9625
1909-03,-0.42128,-0.89957
1909-04,-0.38506,-0.8299
1909-05,-0.35,-0.76247
1909-06,-0.446,-0.94711
1909-07,-0.459,-0.97212
1909-08,-0.562,-1.17022
1909-09,-0.54472,-1.13699
1909-10,-0.528,-1.10483
1909-11,-0.471,-0.9952
1909-12,-0.544,-1.1356
1910-01,-0.41,-0.87787
1910-02,-0.304,-0.674
1910-03,-0.33532,-0.73424
1910-04,-0.37,-0.80094
1910-05,-0.35,-0.76247
1910-06,-0.455,-0.96442
1910-07,-0.429,-0.91442
1910-08,-0.4545,-0.96346
1910-09,-0.48,-1.01251
1910-10,-0.556,-1.15868
1910-11,-0.485,-1.02212
1910-12,-0.428,-0.91249
1911-01,-0.325,-0.71439
1911-02,-0.339,-0.74132
1911-03,-0.224,-0.52013
1911-04,-0.45,-0.95481
1911-05,-0.325,-0.71439
1911-06,-0.4,-0.85864
1911-07,-0.261,-0.5913
1911-08,-0.525,-1.09906
1911-09,-0.545,-1.13752
1911-10,-0.532,-1.11252
1911-11,-0.646,-1.33178
1911-12,-0.499,-1.04905
1912-01,-0.492,-1.03559
1912-02,-0.393,-0.84518
1912-03,-0.359,-0.77978
1912-04,-0.228,-0.52783
1912-05,-0.308,-0.68169
1912-06,-0.448,-0.95096
1912-07,-0.498,-1.04713
1912-08,-0.411,-0.8798
1912-09,-0.573,-1.19138
1912-10,-0.33,-0.72401
1912-11,-0.371,-0.80286
1912-12,-0.484,-1.0202
1913-01,-0.558,-1.16253
1913-02,-0.286,-0.63938
1913-03,-0.385,-0.82979
1913-04,-0.269,-0.60668
1913-05,-0.501,-1.0529
1913-06,-0.439,-0.93365
1913-07,-0.415,-0.88749
1913-08,-0.436,-0.92788
1913-09,-0.493,-1.03751
1913-10,-0.51611,-1.08197
1913-11,-0.54,-1.12791
1913-12,-0.47115,-0.99548
1914-01,-0.4,-0.85864
1914-02,-0.343,-0.74901
1914-03,-0.308,-0.68169
1914-04,-0.39846,-0.85568
1914-05,-0.486,-1.02405
1914-06,-0.278,-0.62399
1914-07,-0.378,-0.81633
1914-08,-0.489,-1.02982
1914-09,-0.322,-0.70862
1914-10,-0.443,-0.94134
1914-11,-0.35,-0.76247
1914-12,-0.42,-0.89711
1915-01,-0.235,-0.54129
1915-02,-0.233,-0.53744
1915-03,-0.374,-0.80863
1915-04,-0.269,-0.60668
1915-05,-0.301,-0.66823
1915-06,-0.261,-0.5913
1915-07,-0.471,-0.9952
1915-08,-0.363,-0.78748
1915-09,-0.351,-0.7644
1915-10,-0.582,-1.20869
1915-11,-0.529,-1.10675
1915-12,-0.578,-1.20099
1916-01,-0.411,-0.8798
1916-02,-0.306,-0.67785
1916-03,-0.224,-0.52013
1916-04,-0.33,-0.72401
1916-05,-0.212,-0.49705
1916-06,-0.47,-0.99327
1916-07,-0.52,-1.08944
1916-08,-0.412,-0.88172
1916-09,-0.42318,-0.90322
1916-10,-0.434,-0.92403
1916-11,-0.589,-1.22215
1916-12,-0.412,-0.88172
1917-01,-0.483,-1.01828
1917-02,-0.299,-0.66438
1917-03,-0.304,-0.674
1917-04,-0.33907,-0.74144
1917-05,-0.373,-0.80671
1917-06,-0.37554,-0.8116
1917-07,-0.378,-0.81633
1917-08,-0.436,-0.92788
1917-09,-0.494,-1.03943
1917-10,-0.47482,-1.00254
1917-11,-0.455,-0.96442
1917-12,-0.46,-0.97404
1918-01,-0.429,-0.91442
1918-02,-0.398,-0.85479
1918-03,-0.37,-0.80094
1918-04,-0.411,-0.8798
1918-05,-0.164,-0.40473
1918-06,-0.336,-0.73555
1918-07,-0.419,-0.89518
1918-08,-0.37,-0.80094
1918-09,-0.413,-0.88364
1918-10,-0.428,-0.91249
1918-11,-0.353,-0.76824
1918-12,-0.323,-0.71054
1919-01,-0.4,-0.85864
1919-02,-0.378,-0.81633
1919-03,-0.334,-0.7317
1919-04,-0.3838,-0.82749
1919-05,-0.432,-0.92019
1919-06,-0.219,-0.51052
1919-07,-0.221,-0.51436
1919-08,-0.396,-0.85095
1919-09,-0.38533,-0.83042
1919-10,-0.375,-0.81056
1919-11,-0.146,-0.37011
1919-12,-0.283,-0.63361
1920-01,-0.36,-0.78171
1920-02,-0.398,-0.85479
1920-03,-0.43,-0.91634
1920-04,-0.278,-0.62399
1920-05,-0.361,-0.78363
1920-06,-0.431,-0.91826
1920-07,-0.393,-0.84518
1920-08,-0.452,-0.95865
1920-09,-0.248,-0.56629
1920-10,-0.3139,-0.69304
1920-11,-0.382,-0.82402
1920-12,-0.38135,-0.82277
1921-01,-0.38067,-0.82147
1921-02,-0.38,-0.82017
1921-03,-0.17,-0.41627
1921-04,-0.241,-0.55283
1921-05,-0.373,-0.80671
1921-06,-0.322,-0.70862
1921-07,-0.401,-0.86056
1921-08,-0.35,-0.76247
1921-09,-0.299,-0.66438
1921-10,-0.38949,-0.83843
1921-11,-0.483,-1.01828
1921-12,-0.31,-0.68554
1922-01,-0.378,-0.81633
1922-02,-0.339,-0.74132
1922-03,-0.328,-0.72016
1922-04,-0.342,-0.74709
1922-05,-0.275,-0.61822
1922-06,-0.363,-0.78748
1922-07,-0.299,-0.66438
1922-08,-0.349,-0.76055
1922-09,-0.381,-0.8221
1922-10,-0.441,-0.9375
1922-11,-0.41,-0.87787
1922-12,-0.281,-0.62976
1923-01,-0.275,-0.61822
1923-02,-0.368,-0.79709
1923-03,-0.263,-0.59514
1923-04,-0.203,-0.47974
1923-05,-0.402,-0.86249
1923-06,-0.243,-0.55668
1923-07,-0.363,-0.78748
1923-08,-0.289,-0.64515
1923-09,-0.413,-0.88364
1923-10,-0.44595,-0.94702
1923-11,-0.48,-1.01251
1923-12,-0.33,-0.72401
1924-01,-0.284,-0.63553
1924-02,-0.24525,-0.561
1924-03,-0.209,-0.49128
1924-04,-0.385,-0.82979
1924-05,-0.263,-0.59514
1924-06,-0.373,-0.80671
1924-07,-0.352,-0.76632
1924-08,-0.32,-0.70477
1924-09,-0.41,-0.87787
1924-10,-0.378,-0.81633
1924-11,-0.259,-0.58745
1924-12,-0.37,-0.80094
1925-01,-0.228,-0.52783
1925-02,-0.21854,-0.50964
1925-03,-0.21,-0.49321
1925-04,-0.13,-0.33934
1925-05,-0.445,-0.94519
1925-06,-0.329,-0.72208
1925-07,-0.243,-0.55668
1925-08,-0.33,-0.72401
1925-09,-0.301,-0.66823
1925-10,-0.385,-0.82979
1925-11,-0.322,-0.70862
1925-12,-0.322,-0.70862
1926-01,-0.191,-0.45666
1926-02,-0.238,-0.54706
1926-03,-0.212,-0.49705
1926-04,-0.264,-0.59707
1926-05,-0.276,-0.62015
1926-06,-0.289,-0.64515
1926-07,-0.25,-0.57014
1926-08,-0.34,-0.74324
1926-09,-0.3,-0.66631
1926-10,-0.16,-0.39704
1926-11,-0.19024,-0.45521
1926-12,-0.21951,-0.5115
1927-01,-0.24976,-0.56967
1927-02,-0.28,-0.62784
1927-03,-0.391,-0.84133
1927-04,-0.302,-0.67015
1927-05,-0.29145,-0.64986
1927-06,-0.28055,-0.6289
1927-07,-0.27,-0.60861
1927-08,-0.158,-0.39319
1927-09,-0.284,-0.63553
1927-10,-0.26334,-0.59581
1927-11,-0.242,-0.55475
1927-12,-0.24298,-0.55665
1928-01,-0.244,-0.5586
1928-02,-0.175,-0.42589
1928-03,-0.336,-0.73555
1928-04,-0.2613,-0.59186
1928-05,-0.189,-0.45282
1928-06,-0.27,-0.60861
1928-07,-0.21,-0.49321
1928-08,-0.1,-0.28164
1928-09,-0.285,-0.63746
1928-10,-0.285,-0.63746
1928-11,-0.334,-0.7317
1928-12,-0.346,-0.75478
1929-01,-0.186,-0.44705
1929-02,-0.295,-0.65669
1929-03,-0.202,-0.47782
1929-04,-0.238,-0.54706
1929-05,-0.17,-0.41627
1929-06,-0.196,-0.46628
1929-07,-0.164,-0.40473
1929-08,-0.312,-0.68939
1929-09,-0.343,-0.74901
1929-10,-0.373,-0.80671
1929-11,-0.323,-0.71054
1929-12,-0.238,-0.54706
1930-01,-0.264,-0.59707
1930-02,-0.29,-0.64707
1930-03,-0.13,-0.33934
1930-04,-0.14626,-0.37062
1930-05,-0.162,-0.40089
1930-06,-0.062,-0.20855
1930-07,-0.299,-0.66438
1930-08,-0.36,-0.78171
1930-09,-0.421,-0.89903
1930-10,-0.32411,-0.71269
1930-11,-0.224,-0.52013
1930-12,-0.262,-0.59322
1931-01,-0.209,-0.49128
1931-02,-0.296,-0.65861
1931-03,0.009,-0.072
1931-04,-0.169,-0.41435
1931-05,-0.176,-0.42781
1931-06,-0.144,-0.36627
1931-07,-0.188,-0.45089
1931-08,-0.232,-0.53552
1931-09,-0.23403,-0.53943
1931-10,-0.236,-0.54321
1931-11,-0.115,-0.31049
1931-12,-0.139,-0.35665
1932-01,-0.094,-0.2701
1932-02,-0.236,-0.54321
1932-03,-0.255,-0.57976
1932-04,-0.178,-0.43166
1932-05,-0.17,-0.41627
1932-06,-0.104,-0.28933
1932-07,-0.351,-0.7644
1932-08,-0.118,-0.31626
1932-09,-0.27,-0.60861
1932-10,-0.3,-0.66631
1932-11,-0.34,-0.74324
1932-12,-0.369,-0.79902
1933-01,-0.145,-0.36819
1933-02,-0.179,-0.43358
1933-03,-0.269,-0.60668
1933-04,-0.261,-0.5913
1933-05,-0.191,-0.45666
1933-06,-0.048,-0.18163
1933-07,-0.226,-0.52398
1933-08,-0.35,-0.76247
1933-09,-0.266,-0.60091
1933-10,-0.274,-0.6163
1933-11,-0.461,-0.97596
1933-12,-0.23,-0.53167
1934-01,-0.218,-0.50859
1934-02,-0.118,-0.31626
1934-03,-0.01,-0.10854
1934-04,-0.06,-0.20471
1934-05,-0.175,-0.42589
1934-06,-0.259,-0.58745
1934-07,0.011,-0.06815
1934-08,-0.214,-0.5009
1934-09,-0.235,-0.54129
1934-10,-0.244,-0.5586
1934-11,-0.219,-0.51052
1934-12,-0.22687,-0.52565
1935-01,-0.235,-0.54129
1935-02,-0.21,-0.49321
1935-03,-0.15,-0.37781
1935-04,-0.18,-0.43551
1935-05,-0.2,-0.47397
1935-06,-0.152,-0.38165
1935-07,-0.205,-0.48359
1935-08,-0.088,-0.25856
1935-09,-0.438,-0.93173
1935-10,-0.144,-0.36627
1935-11,-0.124,-0.3278
1935-12,-0.371,-0.80286
1936-01,-0.277,-0.62207
1936-02,-0.183,-0.44128
1936-03,-0.1859,-0.44685
1936-04,-0.189,-0.45282
1936-05,-0.221,-0.51436
1936-06,-0.009,-0.10662
1936-07,-0.099,-0.27972
1936-08,-0.096,-0.27395
1936-09,-0.158,-0.39319
1936-10,-0.311,-0.68746
1936-11,-0.256,-0.58168
1936-12,-0.155,-0.38742
1937-01,-0.266,-0.60091
1937-02,-0.086,-0.25471
1937-03,-0.143,-0.36434
1937-04,-0.146,-0.37011
1937-05,-0.065,-0.21432
1937-06,-0.12954,-0.33846
1937-07,-0.192,-0.45859
1937-08,-0.095,-0.27202
1937-09,-0.291,-0.649
1937-10,-0.22461,-0.5213
1937-11,-0.156,-0.38935
1937-12,-0.209,-0.49128
1938-01,-0.2205,-0.5134
1938-02,-0.232,-0.53552
1938-03,-0.039,-0.16432
1938-04,-0.12,-0.32011
1938-05,-0.153,-0.38358
1938-06,-0.045,-0.17586
1938-07,-0.209,-0.49128
1938-08,-0.29,-0.64707
1938-09,-0.21987,-0.51219
1938-10,-0.152,-0.38165
1938-11,-0.295,-0.65669
1938-12,-0.033,-0.15278
1939-01,-0.314,-0.69323
1939-02,0.014,-0.06238
1939-03,-0.086,-0.25471
1939-04,-0.103,-0.28741
1939-05,-0.144,-0.36627
1939-06,-0.086,-0.25471
1939-07,-0.145,-0.36819
1939-08,-0.078,-0.23933
1939-09,-0.175,-0.42589
1939-10,-0.178,-0.43166
1939-11,-0.211,-0.49513
1939-12,-0.17,-0.41627
1940-01,-0.112,-0.30472
1940-02,-0.248,-0.56629
1940-03,-0.2,-0.47397
1940-04,-0.025,-0.13739
1940-05,-0.08,-0.24317
1940-06,-0.122,-0.32395
1940-07,-0.13,-0.33934
1940-08,-0.128,-0.33549
1940-09,-0.216,-0.50475
1940-10,-0.241,-0.55283
1940-11,-0.156,-0.38935
1940-12,-0.231,-0.5336
1941-01,-0.094,-0.2701
1941-02,-0.24,-0.55091
1941-03,0.001,-0.08738
1941-04,-0.02949,-0.14603
1941-05,-0.059,-0.20278
1941-06,-0.019,-0.12585
1941-07,0.012,-0.06623
1941-08,-0.064,-0.2124
1941-09,-0.31,-0.68554
1941-10,-0.271,-0.61053
1941-11,-0.211,-0.49513
1941-12,-0.14,-0.35857
1942-01,-0.075,-0.23356
1942-02,-0.148,-0.37396
1942-03,-0.056,-0.19701
1942-04,-0.124,-0.3278
1942-05,-0.118,-0.31626
1942-06,-0.199,-0.47205
1942-07,-0.185,-0.44512
1942-08,-0.243,-0.55668
1942-09,-0.23,-0.53167
1942-10,-0.074,-0.23163
1942-11,-0.23,-0.53167
1942-12,0.079,0.06264
1943-01,-0.066,-0.21625
1943-02,-0.065,-0.21432
1943-03,-0.129,-0.33742
1943-04,-0.1168,-0.31396
1943-05,-0.105,-0.29126
1943-06,-0.066,-0.21625
1943-07,-0.09846,-0.27868
1943-08,-0.132,-0.34319
1943-09,-0.05,-0.18547
1943-10,-0.204,-0.48167
1943-11,-0.143,-0.36434
1943-12,0.021,-0.04892
1944-01,-0.145,-0.36819
1944-02,0.076,0.05687
1944-03,0.007,-0.07584
1944-04,-0.09,-0.26241
1944-05,-0.03984,-0.16593
1944-06,0.012,-0.06623
1944-07,-0.04,-0.16624
1944-08,-0.1145,-0.30953
1944-09,-0.189,-0.45282
1944-10,-0.16,-0.39704
1944-11,-0.10969,-0.30028
1944-12,-0.061,-0.20663
1945-01,-0.07,-0.22394
1945-02,-0.03795,-0.1623
1945-03,-0.009,-0.10662
1945-04,0.017,-0.05661
1945-05,0.007,-0.07584
1945-06,0.031,-0.02968
1945-07,-0.013,-0.11431
1945-08,-0.07,-0.22394
1945-09,-0.126,-0.33165
1945-10,-0.26,-0.58937
1945-11,-0.085,-0.25279
1945-12,-0.083,-0.24894
1946-01,-0.1165,-0.31338
1946-02,-0.15,-0.37781
1946-03,-0.115,-0.31049
1946-04,0.06,0.02609
1946-05,-0.03,-0.14701
1946-06,0.01,-0.07007
1946-07,-0.066,-0.21625
1946-08,-0.09,-0.26241
1946-09,-0.035,-0.15662
1946-10,-0.16,-0.39704
1946-11,-0.101,-0.28356
1946-12,-0.126,-0.33165
1947-01,-0.098,-0.27779
1947-02,-0.062,-0.20855
1947-03,-0.001,-0.09123
1947-04,-0.049,-0.18355
1947-05,0.084,0.07225
1947-06,-0.106,-0.29318
1947-07,-0.073,-0.22971
1947-08,-0.07873,-0.24073
1947-09,-0.08446,-0.25175
1947-10,-0.09,-0.26241
1947-11,-0.14489,-0.36797
1947-12,-0.198,-0.47013
1948-01,-0.032,-0.15085
1948-02,0.044,-0.00468
1948-03,-0.001,-0.09123
1948-04,0.085,0.07418
1948-05,-0.048,-0.18163
1948-06,0.089,0.08187
1948-07,0.136,0.17227
1948-08,-0.101,-0.28356
1948-09,-0.125,-0.32972
1948-10,0.021,-0.04892
1948-11,0.039,-0.0143
1948-12,-0.11,-0.30087
1949-01,-0.076,-0.23548
1949-02,-0.039,-0.16432
1949-03,-0.105,-0.29126
1949-04,-0.063,-0.21048
1949-05,-0.076,-0.23548
1949-06,-0.075,-0.23356
1949-07,-0.04,-0.16624
1949-08,-0.043,-0.17201
1949-09,0.045,-0.00276
1949-10,-0.164,-0.40473
1949-11,0.002,-0.08546
1949-12,-0.075,-0.23356
1950-01,-0.036,-0.15855
1950-02,0.048,0.00301
1950-03,-0.08,-0.24317
1950-04,0.051,0.00878
1950-05,0.04411,-0.00446
1950-06,0.037,-0.01814
1950-07,-0.004,-0.097
1950-08,0.146,0.1915
1950-09,-0.119,-0.31818
1950-10,-0.12,-0.32011
1950-11,-0.116,-0.31241
1950-12,-0.09436,-0.27079
1951-01,-0.072,-0.22779
1951-02,0.099,0.1011
1951-03,0.137,0.17419
1951-04,0.04654,0.00021
1951-05,-0.041,-0.16816
1951-06,-0.05066,-0.18674
1951-07,-0.06,-0.20471
1951-08,-0.051,-0.1874
1951-09,-0.042,-0.17009
1951-10,-0.185,-0.44512
1951-11,0.068,0.04148
1951-12,0.107,0.11649
1952-01,0.08997,0.08373
1952-02,0.07293,0.05097
1952-03,0.057,0.02032
1952-04,0.07275,0.05062
1952-05,0.088,0.07995
1952-06,0.179,0.25497
1952-07,-0.02,-0.12777
1952-08,-0.094,-0.2701
